LAST SEEN   TYPE      REASON                            OBJECT                                                                           MESSAGE
24m         Normal    CreatedExternalResource           securitygroup/crossplane-memorydb-bm5gr-j8674                                    Successfully requested creation of external resource
3s          Normal    PendingExternalResource           securitygroup/crossplane-memorydb-bm5gr-j8674                                    Waiting for external resource existence to be confirmed
4m41s       Warning   CannotResolveResourceReferences   securitygrouprule/crossplane-memorydb-bm5gr-q8xsk                                cannot resolve references: mg.Spec.ForProvider.SecurityGroupID: referenced field was empty (referenced resource may not yet be ready)
5s          Normal    SelectComposition                 xcrossplanememorydb/crossplane-memorydb-bm5gr                                    Successfully selected composition
26m         Normal    BindClusterRole                   providerrevision/provider-aws-90b53987357c                                       Bound system ClusterRole to provider ServiceAccount(s)
6m28s       Normal    ApplyClusterRoles                 providerrevision/provider-aws-90b53987357c                                       Applied RBAC ClusterRoles
22m         Normal    SyncPackage                       providerrevision/provider-aws-90b53987357c                                       Successfully configured package revision
39m         Normal    InstallPackageRevision            provider/provider-aws                                                            Successfully installed package revision
26m         Normal    BindClusterRole                   providerrevision/provider-kubernetes-1f1e32c1957d                                Bound system ClusterRole to provider ServiceAccount(s)
22m         Normal    SyncPackage                       providerrevision/provider-kubernetes-1f1e32c1957d                                Successfully configured package revision
6m28s       Normal    ApplyClusterRoles                 providerrevision/provider-kubernetes-1f1e32c1957d                                Applied RBAC ClusterRoles
39m         Normal    InstallPackageRevision            provider/provider-kubernetes                                                     Successfully installed package revision
43m         Normal    RenderCRD                         compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Rendered composite resource CustomResourceDefinition
43m         Normal    RenderCRD                         compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Rendered composite resource claim CustomResourceDefinition
57m         Normal    EstablishComposite                compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Applied composite resource CustomResourceDefinition
57m         Normal    EstablishComposite                compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   (Re)started composite resource controller
